competitionKey,officialName,leagueId,country,season,historicalSeasons,fixturesCoverage,standingsCoverage,teamStatisticsCoverage,fixtureStatisticsCoverage,oddsCoverage,bet365CatalogListed,bet365FixtureAvailability,betanoCatalogListed,betanoFixtureAvailability,mvpMarkets,requestsObserved,limitations,evidence,status,verifiedAt
laliga,La Liga,140,Spain,2026,"global catalog 2008-2027; per-competition seasons were not persisted in this run","INCONCLUSIVE: next=1 returned 0 fixtures","DECLARED_TRUE","INCONCLUSIVE: teams endpoint returned 0 rows, so /teams/statistics could not be probed","DECLARED_FALSE","NOT_AVAILABLE: coverage.odds=false and odds page 1 returned 0 results",true,INCONCLUSIVE,true,INCONCLUSIVE,"NOT_OBSERVED: no real fixture odds sample",4,"Season exists but the current 2026 window returned no fixture, no teams and no odds sample. Coverage is catalog-declared only for standings.","/leagues + /fixtures(next=1) + /teams + /odds(page=1); fixtures=0; teams=0; odds=0",PARTIAL,2026-07-28T17:21:18.139Z
premier-league,Premier League,39,England,2026,"global catalog 2008-2027; per-competition seasons were not persisted in this run","INCONCLUSIVE: next=1 returned 0 fixtures","DECLARED_TRUE","INCONCLUSIVE: teams endpoint returned 0 rows, so /teams/statistics could not be probed","DECLARED_FALSE","NOT_AVAILABLE: coverage.odds=false and odds page 1 returned 0 results",true,INCONCLUSIVE,true,INCONCLUSIVE,"NOT_OBSERVED: no real fixture odds sample",4,"League and season are verified, but no fixture-level evidence was available in the 2026 probe window.","/leagues + /fixtures(next=1) + /teams + /odds(page=1); fixtures=0; teams=0; odds=0",PARTIAL,2026-07-28T17:21:46.158Z
ligue-1,Ligue 1,61,France,2026,"global catalog 2008-2027; per-competition seasons were not persisted in this run","INCONCLUSIVE: next=1 returned 0 fixtures","DECLARED_TRUE","INCONCLUSIVE: teams endpoint returned 0 rows, so /teams/statistics could not be probed","DECLARED_FALSE","NOT_AVAILABLE: coverage.odds=false and odds page 1 returned 0 results",true,INCONCLUSIVE,true,INCONCLUSIVE,"NOT_OBSERVED: no real fixture odds sample",4,"No upcoming fixture sample was returned, so historical and odds evidence remain unproven for the current season.","/leagues + /fixtures(next=1) + /teams + /odds(page=1); fixtures=0; teams=0; odds=0",PARTIAL,2026-07-28T17:22:14.184Z
serie-a-italy,Serie A,135,Italy,2026,"global catalog 2008-2027; per-competition seasons were not persisted in this run","INCONCLUSIVE: next=1 returned 0 fixtures","DECLARED_TRUE","INCONCLUSIVE: teams endpoint returned 0 rows, so /teams/statistics could not be probed","DECLARED_FALSE","NOT_AVAILABLE: coverage.odds=false and odds page 1 returned 0 results",true,INCONCLUSIVE,true,INCONCLUSIVE,"NOT_OBSERVED: no real fixture odds sample",4,"League ID and active season were resolved, but there was no fixture-level evidence in the validated window.","/leagues + /fixtures(next=1) + /teams + /odds(page=1); fixtures=0; teams=0; odds=0",PARTIAL,2026-07-28T17:22:42.215Z
bundesliga,Bundesliga,78,Germany,2026,"global catalog 2008-2027; per-competition seasons were not persisted in this run","INCONCLUSIVE: next=1 returned 0 fixtures","DECLARED_TRUE","INCONCLUSIVE: teams endpoint returned 0 rows, so /teams/statistics could not be probed","DECLARED_FALSE","NOT_AVAILABLE: coverage.odds=false and odds page 1 returned 0 results",true,INCONCLUSIVE,true,INCONCLUSIVE,"NOT_OBSERVED: no real fixture odds sample",4,"The provider resolved the competition correctly, but there was no real fixture or odds evidence to elevate this beyond PARTIAL.","/leagues + /fixtures(next=1) + /teams + /odds(page=1); fixtures=0; teams=0; odds=0",PARTIAL,2026-07-28T17:23:10.245Z
liga-profesional-arg,Liga Profesional Argentina,128,Argentina,2026,"global catalog 2008-2027; per-competition seasons were not persisted in this run","INCONCLUSIVE: next=1 returned 0 fixtures","DECLARED_TRUE","INCONCLUSIVE: teams endpoint returned 0 rows, so /teams/statistics could not be probed","DECLARED_TRUE","INCONCLUSIVE: coverage.odds=true but odds page 1 returned 0 results",true,INCONCLUSIVE,true,INCONCLUSIVE,"NOT_OBSERVED: no real fixture odds sample",4,"Catalog coverage is strong, but the specific validation window had no fixture, team or odds sample to confirm real availability.","/leagues + /fixtures(next=1) + /teams + /odds(page=1); fixtures=0; teams=0; odds=0",PARTIAL,2026-07-28T17:23:38.260Z
serie-a-brazil,Brasileirao Serie A,71,Brazil,2026,"global catalog 2008-2027; per-competition seasons were not persisted in this run","INCONCLUSIVE: next=1 returned 0 fixtures","DECLARED_TRUE","INCONCLUSIVE: teams endpoint returned 0 rows, so /teams/statistics could not be probed","DECLARED_TRUE","INCONCLUSIVE: coverage.odds=true but odds page 1 returned 0 results",true,INCONCLUSIVE,true,INCONCLUSIVE,"NOT_OBSERVED: no real fixture odds sample",4,"The provider advertises broad coverage for this league, but no active fixture in the probe window means no empirical odds or statistics sample.","/leagues + /fixtures(next=1) + /teams + /odds(page=1); fixtures=0; teams=0; odds=0",PARTIAL,2026-07-28T17:24:06.283Z
uefa-champions-league,UEFA Champions League,2,World,2026,"global catalog 2008-2027; per-competition seasons were not persisted in this run","INCONCLUSIVE: next=1 returned 0 fixtures","DECLARED_FALSE","INCONCLUSIVE: teams endpoint returned 0 rows, so /teams/statistics could not be probed","DECLARED_TRUE","INCONCLUSIVE: coverage.odds=true but odds page 1 returned 0 results",true,INCONCLUSIVE,true,INCONCLUSIVE,"NOT_OBSERVED: no real fixture odds sample",4,"Cup identity is verified, but standings are not declared and no live fixture sample was available for markets or team statistics.","/leagues + /fixtures(next=1) + /teams + /odds(page=1); fixtures=0; teams=0; odds=0",PARTIAL,2026-07-28T17:24:34.329Z
uefa-europa-league,UEFA Europa League,3,World,2026,"global catalog 2008-2027; per-competition seasons were not persisted in this run","INCONCLUSIVE: next=1 returned 0 fixtures","DECLARED_FALSE","INCONCLUSIVE: teams endpoint returned 0 rows, so /teams/statistics could not be probed","DECLARED_TRUE","INCONCLUSIVE: coverage.odds=true but odds page 1 returned 0 results",true,INCONCLUSIVE,true,INCONCLUSIVE,"NOT_OBSERVED: no real fixture odds sample",4,"The provider resolves the cup and declares odds, but the current validation window had no fixture evidence and no standings support.","/leagues + /fixtures(next=1) + /teams + /odds(page=1); fixtures=0; teams=0; odds=0",PARTIAL,2026-07-28T17:25:02.363Z
conmebol-libertadores,CONMEBOL Libertadores,13,World,2026,"global catalog 2008-2027; per-competition seasons were not persisted in this run","INCONCLUSIVE: next=1 returned 0 fixtures","DECLARED_TRUE","INCONCLUSIVE: teams endpoint returned 0 rows, so /teams/statistics could not be probed","DECLARED_TRUE","NOT_AVAILABLE: coverage.odds=false and odds page 1 returned 0 results",true,INCONCLUSIVE,true,INCONCLUSIVE,"NOT_OBSERVED: no real fixture odds sample",4,"The cup is resolved and standings/statistics are declared, but odds are not declared for this season and there was no fixture sample.","/leagues + /fixtures(next=1) + /teams + /odds(page=1); fixtures=0; teams=0; odds=0",PARTIAL,2026-07-28T17:25:30.384Z
